Country / Region,Financial_Year,Trade_Value_Crore,Year,Trade_Type,Mineral,Subtype
AUSTRALIA,2017-2018,2194.52,2018,Import,Copper,Raw (Ore)
BRAZIL,2017-2018,2441.72,2018,Import,Copper,Raw (Ore)
CANADA,2017-2018,1832.79,2018,Import,Copper,Raw (Ore)
CHILE,2017-2018,11213.2,2018,Import,Copper,Raw (Ore)
CONGO D. REP.,2017-2018,639.22,2018,Import,Copper,Raw (Ore)
CONGO P REP,2017-2018,21.9,2018,Import,Copper,Raw (Ore)
GEORGIA,2017-2018,35.88,2018,Import,Copper,Raw (Ore)
GERMANY,2017-2018,0.24,2018,Import,Copper,Raw (Ore)
INDONESIA,2017-2018,4666.39,2018,Import,Copper,Raw (Ore)
LAO PD RP,2017-2018,172.18,2018,Import,Copper,Raw (Ore)
MEXICO,2017-2018,214.72,2018,Import,Copper,Raw (Ore)
PAPUA N GNA,2017-2018,316.35,2018,Import,Copper,Raw (Ore)
PERU,2017-2018,3417.19,2018,Import,Copper,Raw (Ore)
SAUDI ARAB,2017-2018,608.16,2018,Import,Copper,Raw (Ore)
TURKEY,2017-2018,60.02,2018,Import,Copper,Raw (Ore)
AUSTRALIA,2018-2019,2024.95,2019,Import,Copper,Raw (Ore)
BRAZIL,2018-2019,229.48,2019,Import,Copper,Raw (Ore)
CHILE,2018-2019,5409.07,2019,Import,Copper,Raw (Ore)
INDONESIA,2018-2019,2725.87,2019,Import,Copper,Raw (Ore)
MADAGASCAR,2018-2019,0.23,2019,Import,Copper,Raw (Ore)
PERU,2018-2019,1033.67,2019,Import,Copper,Raw (Ore)
PHILIPPINES,2018-2019,198.38,2019,Import,Copper,Raw (Ore)
SAUDI ARAB,2018-2019,420.72,2019,Import,Copper,Raw (Ore)
THAILAND,2018-2019,103.84,2019,Import,Copper,Raw (Ore)
AUSTRALIA,2019-2020,617.08,2020,Import,Copper,Raw (Ore)
CANADA,2019-2020,259.02,2020,Import,Copper,Raw (Ore)
CHILE,2019-2020,5612.74,2020,Import,Copper,Raw (Ore)
ETHIOPIA,2019-2020,0.05,2020,Import,Copper,Raw (Ore)
INDONESIA,2019-2020,493.27,2020,Import,Copper,Raw (Ore)
NIGERIA,2019-2020,0.07,2020,Import,Copper,Raw (Ore)
PANAMA REPUBLIC,2019-2020,234.0,2020,Import,Copper,Raw (Ore)
PERU,2019-2020,874.89,2020,Import,Copper,Raw (Ore)
PHILIPPINES,2019-2020,151.32,2020,Import,Copper,Raw (Ore)
SAUDI ARAB,2019-2020,314.23,2020,Import,Copper,Raw (Ore)
THAILAND,2019-2020,110.84,2020,Import,Copper,Raw (Ore)
BOSNIA-HRZGOVIN,2020-2021,0.08,2021,Import,Copper,Raw (Ore)
CANADA,2020-2021,296.97,2021,Import,Copper,Raw (Ore)
CHILE,2020-2021,2906.5,2021,Import,Copper,Raw (Ore)
INDONESIA,2020-2021,2139.14,2021,Import,Copper,Raw (Ore)
MALAYSIA,2020-2021,397.47,2021,Import,Copper,Raw (Ore)
SAUDI ARAB,2020-2021,166.71,2021,Import,Copper,Raw (Ore)
U K,2020-2021,0.2,2021,Import,Copper,Raw (Ore)
U S A,2020-2021,0.09,2021,Import,Copper,Raw (Ore)
AUSTRALIA,2021-2022,4188.06,2022,Import,Copper,Raw (Ore)
BRAZIL,2021-2022,669.85,2022,Import,Copper,Raw (Ore)
CANADA,2021-2022,902.91,2022,Import,Copper,Raw (Ore)
CHILE,2021-2022,6770.48,2022,Import,Copper,Raw (Ore)
CHINA P RP,2021-2022,0.04,2022,Import,Copper,Raw (Ore)
CONGO P REP,2021-2022,0.28,2022,Import,Copper,Raw (Ore)
INDONESIA,2021-2022,4608.39,2022,Import,Copper,Raw (Ore)
PANAMA REPUBLIC,2021-2022,1769.41,2022,Import,Copper,Raw (Ore)
PERU,2021-2022,2567.6,2022,Import,Copper,Raw (Ore)
SAUDI ARAB,2021-2022,747.25,2022,Import,Copper,Raw (Ore)
THAILAND,2021-2022,157.0,2022,Import,Copper,Raw (Ore)
U S A,2021-2022,0.15,2022,Import,Copper,Raw (Ore)
AUSTRALIA,2022-2023,3627.65,2023,Import,Copper,Raw (Ore)
BRAZIL,2022-2023,378.67,2023,Import,Copper,Raw (Ore)
CANADA,2022-2023,813.66,2023,Import,Copper,Raw (Ore)
CHILE,2022-2023,7249.85,2023,Import,Copper,Raw (Ore)
COLOMBIA,2022-2023,80.9,2023,Import,Copper,Raw (Ore)
INDONESIA,2022-2023,7314.51,2023,Import,Copper,Raw (Ore)
MALAYSIA,2022-2023,1130.42,2023,Import,Copper,Raw (Ore)
PANAMA REPUBLIC,2022-2023,1640.63,2023,Import,Copper,Raw (Ore)
